iter	Passed	Remaining
0	124	124290
1	128	63949
2	130	43415
3	133	33169
4	135	27023
5	137	22837
6	141	20037
7	144	17896
8	146	16162
9	149	14777
10	151	13604
11	153	12657
12	156	11895
13	158	11138
14	160	10557
15	163	10040
16	165	9549
17	167	9142
18	170	8824
19	173	8490
20	176	8230
21	180	8026
22	184	7825
23	188	7650
24	191	7467
25	193	7259
26	197	7112
27	201	6997
28	205	6864
29	208	6740
30	211	6620
31	215	6505
32	218	6403
33	221	6301
34	223	6168
35	227	6080
36	230	6011
37	234	5933
38	237	5857
39	241	5792
40	247	5796
41	251	5731
42	253	5637
43	257	5595
44	262	5564
45	266	5520
46	270	5480
47	273	5415
48	275	5355
49	278	5283
50	280	5212
51	283	5168
52	286	5113
53	288	5058
54	293	5037
55	297	5008
56	299	4959
57	301	4893
58	303	4847
59	307	4813
60	310	4786
61	314	4755
62	317	4723
63	320	4680
64	324	4661
65	326	4620
66	328	4569
67	329	4515
68	331	4476
69	334	4441
70	336	4407
71	341	4396
72	343	4362
73	346	4330
74	348	4298
75	351	4268
76	354	4249
77	357	4230
78	361	4211
79	363	4183
80	366	4156
81	369	4132
82	371	4109
83	375	4092
84	377	4066
85	380	4040
86	382	4015
87	385	3991
88	387	3969
89	391	3960
90	395	3949
91	398	3934
92	402	3924
93	407	3930
94	412	3925
95	416	3918
96	422	3932
97	426	3926
98	429	3905
99	432	3889
100	435	3875
101	438	3857
102	440	3837
103	443	3818
104	445	3799
105	450	3796
106	453	3785
107	456	3766
108	458	3748
109	461	3731
110	464	3723
111	467	3705
112	468	3680
113	471	3663
114	473	3647
115	476	3630
116	480	3625
117	482	3608
118	485	3592
119	487	3576
120	490	3559
121	492	3544
122	497	3549
123	500	3535
124	502	3519
125	505	3505
126	507	3491
127	511	3482
128	514	3471
129	516	3457
130	519	3444
131	521	3430
132	524	3416
133	527	3411
134	531	3403
135	534	3394
136	536	3381
137	539	3369
138	543	3366
139	547	3360
140	549	3348
141	552	3336
142	553	3320
143	557	3312
144	560	3302
145	563	3294
146	565	3283
147	568	3272
148	570	3260
149	575	3258
150	577	3248
151	580	3237
152	582	3227
153	585	3216
154	589	3214
155	593	3211
156	596	3205
157	599	3194
158	601	3184
159	605	3179
160	608	3169
161	610	3159
162	613	3149
163	615	3140
164	618	3132
165	621	3124
166	624	3114
167	627	3105
168	629	3095
169	632	3086
170	634	3078
171	638	3072
172	640	3063
173	643	3053
174	645	3044
175	648	3034
176	652	3032
177	655	3027
178	658	3018
179	659	3006
180	662	2997
181	665	2989
182	668	2983
183	670	2975
184	673	2966
185	675	2958
186	678	2949
187	681	2944
188	684	2936
189	686	2928
190	689	2919
191	691	2911
192	694	2904
193	697	2898
194	700	2891
195	702	2883
196	705	2875
197	708	2868
198	710	2860
199	714	2856
200	716	2849
201	719	2841
202	721	2834
203	724	2826
204	727	2819
205	730	2815
206	733	2808
207	735	2801
208	738	2794
209	740	2786
210	743	2779
211	746	2775
212	749	2769
213	752	2762
214	754	2755
215	757	2748
216	760	2744
217	764	2741
218	766	2735
219	769	2728
220	772	2721
221	775	2717
222	778	2711
223	782	2709
224	785	2706
225	788	2701
226	791	2696
227	794	2691
228	798	2687
229	801	2683
230	804	2679
231	809	2678
232	811	2671
233	814	2665
234	816	2659
235	819	2653
236	822	2648
237	825	2642
238	828	2636
239	830	2630
240	833	2624
241	835	2617
242	839	2615
243	842	2610
244	845	2604
245	847	2597
246	850	2591
247	853	2589
248	857	2586
249	861	2585
250	864	2580
251	868	2576
252	872	2575
253	875	2571
254	879	2568
255	882	2564
256	887	2565
257	891	2562
258	894	2559
259	897	2555
260	902	2555
261	906	2552
262	909	2549
263	913	2545
264	917	2545
265	922	2544
266	925	2541
267	929	2538
268	933	2537
269	939	2540
270	992	2671
271	998	2673
272	1004	2675
273	1011	2680
274	1019	2688
275	1023	2685
276	1060	2768
277	1083	2814
278	1087	2810
279	1091	2805
280	1094	2799
281	1099	2799
282	1108	2808
283	1113	2807
284	1119	2808
285	1122	2802
286	1125	2794
287	1128	2790
288	1133	2788
289	1136	2781
290	1138	2773
291	1141	2767
292	1145	2765
293	1148	2758
294	1151	2751
295	1154	2744
296	1155	2736
297	1159	2732
298	1163	2727
299	1166	2721
300	1168	2714
301	1171	2707
302	1174	2702
303	1177	2695
304	1180	2689
305	1182	2682
306	1185	2675
307	1187	2669
308	1191	2664
309	1194	2658
310	1196	2651
311	1199	2645
312	1202	2638
313	1204	2632
314	1208	2626
315	1212	2624
316	1216	2621
317	1221	2619
318	1226	2618
319	1230	2615
320	1234	2611
321	1237	2606
322	1241	2601
323	1244	2597
324	1246	2589
325	1249	2583
326	1252	2578
327	1256	2573
328	1259	2568
329	1262	2562
330	1264	2556
331	1267	2551
332	1270	2545
333	1273	2539
334	1276	2533
335	1278	2527
336	1281	2521
337	1285	2517
338	1288	2511
339	1290	2505
340	1293	2498
341	1295	2492
342	1298	2486
343	1301	2481
344	1304	2475
345	1306	2469
346	1309	2463
347	1311	2457
348	1315	2453
349	1318	2448
350	1321	2442
351	1323	2436
352	1326	2431
353	1328	2425
354	1332	2421
355	1335	2415
356	1338	2410
357	1341	2405
358	1344	2400
359	1348	2398
360	1353	2395
361	1356	2391
362	1360	2387
363	1365	2385
364	1367	2379
365	1371	2375
366	1374	2370
367	1379	2368
368	1383	2366
369	1386	2361
370	1390	2356
371	1396	2356
372	1399	2351
373	1401	2345
374	1404	2340
375	1406	2334
376	1410	2331
377	1415	2329
378	1419	2326
379	1422	2321
380	1426	2316
381	1428	2311
382	1431	2305
383	1434	2300
384	1436	2294
385	1439	2290
386	1443	2286
387	1446	2282
388	1449	2276
389	1452	2271
390	1455	2266
391	1457	2261
392	1460	2255
393	1463	2250
394	1465	2244
395	1468	2239
396	1471	2235
397	1474	2229
398	1476	2224
399	1479	2219
400	1481	2213
401	1484	2208
402	1487	2203
403	1489	2197
404	1492	2192
405	1494	2186
406	1497	2181
407	1499	2176
408	1502	2171
409	1505	2166
410	1508	2161
411	1510	2155
412	1513	2150
413	1515	2145
414	1518	2141
415	1521	2136
416	1524	2130
417	1526	2125
418	1529	2120
419	1531	2115
420	1535	2111
421	1538	2106
422	1539	2099
423	1541	2094
424	1544	2089
425	1546	2084
426	1550	2080
427	1554	2077
428	1557	2072
429	1559	2067
430	1562	2062
431	1565	2058
432	1568	2053
433	1571	2049
434	1574	2045
